,Business_Name,Boroughs,Cuisines,Inspection_Date,Action,Violation_Code,Violation_Description,Critical_Flag,Score,Grade,Grade_Date,Record_Date,Inspection_Type
15,Bogart house,Brooklyn,American,01/05/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,11.0,A,01/05/2019,11/20/2024,Cycle inspection / initial inspection
16,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
17,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
18,New oriental guyana restaurant,Queens,Caribbean,01/05/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,13.0,A,01/05/2019,11/20/2024,Cycle inspection / re-inspection
19,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
20,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,04k,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
21,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
22,Best 164,Queens,Korean,01/06/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,13.0,A,01/06/2019,11/20/2024,Pre-permit (operational) / initial inspection
23,Best 164,Queens,Korean,01/06/2019,Violations were cited in the following area(s).,16b,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",Not applicable,Nan,Nan,Nan,11/20/2024,Trans fat / initial inspection
24,Best 164,Queens,Korean,01/06/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,01/06/2019,11/20/2024,Pre-permit (operational) / initial inspection
25,Mimmo,Manhattan,Italian,01/08/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,23.0,B,01/08/2019,11/20/2024,Cycle inspection / re-inspection
26,Mimmo,Manhattan,Italian,01/08/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,23.0,B,01/08/2019,11/20/2024,Cycle inspection / re-inspection
27,Mimmo,Manhattan,Italian,01/08/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,23.0,B,01/08/2019,11/20/2024,Cycle inspection / re-inspection
28,El roche lebanon,Queens,Middle eastern,01/08/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,01/08/2019,11/20/2024,Cycle inspection / re-inspection
29,Mimmo,Manhattan,Italian,01/08/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,23.0,B,01/08/2019,11/20/2024,Cycle inspection / re-inspection
30,El roche lebanon,Queens,Middle eastern,01/08/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,10.0,A,01/08/2019,11/20/2024,Cycle inspection / re-inspection
31,Mimmo,Manhattan,Italian,01/08/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23.0,B,01/08/2019,11/20/2024,Cycle inspection / re-inspection
32,Nosh! - courtyard by marriott,Manhattan,American,01/09/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,3.0,A,01/09/2019,11/20/2024,Cycle inspection / initial inspection
33,La nueva caricia restaurant,Manhattan,Mexican,01/10/2019,Violations were cited in the following area(s).,06a,Personal cleanliness inadequate. outer garment soiled with possible contaminant. effective hair restraint not worn in an area where food is prepared.,Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
34,El tahur,Brooklyn,Tapas,01/10/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,28.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
35,El tahur,Brooklyn,Tapas,01/10/2019,Violations were cited in the following area(s).,05h,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,28.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
36,El tahur,Brooklyn,Tapas,01/10/2019,Violations were cited in the following area(s).,06a,Personal cleanliness inadequate. outer garment soiled with possible contaminant. effective hair restraint not worn in an area where food is prepared.,Critical,28.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
37,La nueva caricia restaurant,Manhattan,Mexican,01/10/2019,Violations were cited in the following area(s).,02h,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º f to 70º f or less within 2  hours, and from 70º f to 41º f or less within 4 additional hours.",Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
38,La nueva caricia restaurant,Manhattan,Mexican,01/10/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
39,La nueva caricia restaurant,Manhattan,Mexican,01/10/2019,Violations were cited in the following area(s).,04c,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
40,La nueva caricia restaurant,Manhattan,Mexican,01/10/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
41,El tahur,Brooklyn,Tapas,01/10/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,28.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
42,El tahur,Brooklyn,Tapas,01/10/2019,Violations were cited in the following area(s).,15f6,Workplace sfaa policy not prominently posted in workplace,Not applicable,Nan,Nan,Nan,11/20/2024,Smoke-free air act / initial inspection
43,La nueva caricia restaurant,Manhattan,Mexican,01/10/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
44,El tahur,Brooklyn,Tapas,01/10/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,28.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
45,La boom club,Queens,Latin american,01/11/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,20.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
46,La boom club,Queens,Latin american,01/11/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,20.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
47,La boom club,Queens,Latin american,01/11/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,20.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
48,La boom club,Queens,Latin american,01/11/2019,Violations were cited in the following area(s).,06e,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,20.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
49,La boom club,Queens,Latin american,01/11/2019,Violations were cited in the following area(s).,10e,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not critical,20.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
50,Tropiks bar grill,Brooklyn,Caribbean,01/12/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,10.0,A,01/12/2019,11/20/2024,Pre-permit (operational) / initial inspection
51,Board and brush staten island,Staten island,American,01/12/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,14.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
52,Board and brush staten island,Staten island,American,01/12/2019,Violations were cited in the following area(s).,05d,Hand washing facility not provided in or near food preparation area and toilet room. hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. soap and an acceptable hand-drying device not provided.,Critical,14.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
53,Board and brush staten island,Staten island,American,01/12/2019,Violations were cited in the following area(s).,10j,Hand wash sign not posted,Not critical,14.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
54,Mist harlem,Manhattan,American,01/17/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,7.0,A,01/17/2019,11/20/2024,Cycle inspection / re-inspection
55,Mist harlem,Manhattan,American,01/17/2019,Violations were cited in the following area(s).,10j,Hand wash sign not posted,Not critical,7.0,A,01/17/2019,11/20/2024,Cycle inspection / re-inspection
56,Sushi zo,Manhattan,Japanese,01/25/2019,Violations were cited in the following area(s).,02b,Hot food item not held at or above 140º f.,Critical,17.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
57,Sushi zo,Manhattan,Japanese,01/25/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,17.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
58,Sushi zo,Manhattan,Japanese,01/25/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
59,Board and brush staten island,Staten island,American,01/26/2019,Violations were cited in the following area(s).,15f6,Workplace sfaa policy not prominently posted in workplace,Not applicable,Nan,Nan,Nan,11/20/2024,Smoke-free air act / re-inspection
60,Board and brush staten island,Staten island,American,01/26/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,4.0,A,01/26/2019,11/20/2024,Pre-permit (operational) / re-inspection
61,Board and brush staten island,Staten island,American,01/26/2019,Violations were cited in the following area(s).,08b,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not critical,4.0,A,01/26/2019,11/20/2024,Pre-permit (operational) / re-inspection
62,New camellia cafe,Queens,Korean,01/26/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,7.0,A,01/26/2019,11/20/2024,Pre-permit (operational) / initial inspection
63,Blutos pub,Queens,American,01/29/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,01/29/2019,11/20/2024,Cycle inspection / initial inspection
64,Blutos pub,Queens,American,01/29/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,8.0,A,01/29/2019,11/20/2024,Cycle inspection / initial inspection
65,Alenbi kitchen,Brooklyn,Jewish/kosher,01/30/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
66,Deity,Brooklyn,American,02/01/2019,Violations were cited in the following area(s).,10j,Hand wash sign not posted,Not critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
67,Deity,Brooklyn,American,02/01/2019,Violations were cited in the following area(s).,06a,Personal cleanliness inadequate. outer garment soiled with possible contaminant. effective hair restraint not worn in an area where food is prepared.,Critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
68,Deity,Brooklyn,American,02/01/2019,Violations were cited in the following area(s).,06f,Wiping cloths soiled or not stored in sanitizing solution.,Critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
69,Deity,Brooklyn,American,02/01/2019,Violations were cited in the following area(s).,03a,Food from unapproved or unknown source or home canned. reduced oxygen packaged (rop) fish not frozen before processing; or rop foods prepared on premises transported to another site.,Critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
70,Fuji japanese cuisine,Queens,Japanese,02/04/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,14.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
71,Fuji japanese cuisine,Queens,Japanese,02/04/2019,Violations were cited in the following area(s).,04c,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,14.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
72,Fuji japanese cuisine,Queens,Japanese,02/04/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,14.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
73,Yeshiva university - cardozo law school pantry,Manhattan,Jewish/kosher,02/04/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,2.0,N,Nan,11/20/2024,Cycle inspection / initial inspection
74,Majorelle,Manhattan,French,02/05/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
75,Majorelle,Manhattan,French,02/05/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
76,Fassst cafe (second stage theatre),Manhattan,American,02/05/2019,Violations were cited in the following area(s).,10i,"Single service item reused, improperly stored, dispensed; not used when required.",Not critical,4.0,A,02/05/2019,11/20/2024,Cycle inspection / initial inspection
77,Majorelle,Manhattan,French,02/05/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
78,Majorelle,Manhattan,French,02/05/2019,Violations were cited in the following area(s).,02h,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º f to 70º f or less within 2  hours, and from 70º f to 41º f or less within 4 additional hours.",Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
79,Fassst cafe (second stage theatre),Manhattan,American,02/05/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,4.0,A,02/05/2019,11/20/2024,Cycle inspection / initial inspection
80,Majorelle,Manhattan,French,02/05/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,25.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
81,Grk fresh greek,Manhattan,Greek,02/06/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,11.0,A,02/06/2019,11/20/2024,Cycle inspection / initial inspection
82,Grk fresh greek,Manhattan,Greek,02/06/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,11.0,A,02/06/2019,11/20/2024,Cycle inspection / initial inspection
83,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,03a,Food from unapproved or unknown source or home canned. reduced oxygen packaged (rop) fish not frozen before processing; or rop foods prepared on premises transported to another site.,Critical,37.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
84,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,37.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
85,Bap,Manhattan,Korean,02/08/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,13.0,A,02/08/2019,11/20/2024,Pre-permit (operational) / re-inspection
86,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,37.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
87,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,10a,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not critical,37.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
88,Bap,Manhattan,Korean,02/08/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,13.0,A,02/08/2019,11/20/2024,Pre-permit (operational) / re-inspection
89,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,37.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
90,Bap,Manhattan,Korean,02/08/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,02/08/2019,11/20/2024,Pre-permit (operational) / re-inspection
91,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,10j,Hand wash sign not posted,Not critical,37.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
92,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,15f6,Workplace sfaa policy not prominently posted in workplace,Not applicable,Nan,Nan,Nan,11/20/2024,Smoke-free air act / initial inspection
93,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,37.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
94,H0l0,Queens,American,02/08/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,37.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
95,Forde's sports bar,Brooklyn,Caribbean,02/09/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27.0,B,02/09/2019,11/20/2024,Pre-permit (operational) / re-inspection
96,Forde's sports bar,Brooklyn,Caribbean,02/09/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27.0,B,02/09/2019,11/20/2024,Pre-permit (operational) / re-inspection
97,Forde's sports bar,Brooklyn,Caribbean,02/09/2019,Violations were cited in the following area(s).,06e,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,27.0,B,02/09/2019,11/20/2024,Pre-permit (operational) / re-inspection
98,Forde's sports bar,Brooklyn,Caribbean,02/09/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,27.0,B,02/09/2019,11/20/2024,Pre-permit (operational) / re-inspection
99,Keane's bar & restaurant,Bronx,Irish,02/11/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,12.0,A,02/11/2019,11/20/2024,Cycle inspection / re-inspection
100,Keane's bar & restaurant,Bronx,Irish,02/11/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,12.0,A,02/11/2019,11/20/2024,Cycle inspection / re-inspection
101,Big fleishig's express,Brooklyn,Jewish/kosher,02/13/2019,Violations were cited in the following area(s).,06f,Wiping cloths soiled or not stored in sanitizing solution.,Critical,5.0,A,02/13/2019,11/20/2024,Cycle inspection / initial inspection
102,Bohemian new york,Manhattan,Japanese,02/13/2019,Violations were cited in the following area(s).,15f6,Workplace sfaa policy not prominently posted in workplace,Not applicable,Nan,Nan,Nan,11/20/2024,Smoke-free air act / initial inspection
103,Bohemian new york,Manhattan,Japanese,02/13/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,8.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
104,Bohemian new york,Manhattan,Japanese,02/13/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
105,Lattanzi,Manhattan,Italian,02/19/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
106,Lattanzi,Manhattan,Italian,02/19/2019,Violations were cited in the following area(s).,06b,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,13.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
107,Brasier,Manhattan,Mexican,02/20/2019,Violations were cited in the following area(s).,06a,Personal cleanliness inadequate. outer garment soiled with possible contaminant. effective hair restraint not worn in an area where food is prepared.,Critical,20.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
108,Playwrights horizons,Manhattan,American,02/20/2019,Violations were cited in the following area(s).,05d,Hand washing facility not provided in or near food preparation area and toilet room. hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. soap and an acceptable hand-drying device not provided.,Critical,12.0,A,02/20/2019,11/20/2024,Cycle inspection / initial inspection
109,Brasier,Manhattan,Mexican,02/20/2019,Violations were cited in the following area(s).,06e,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,20.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
